id_questao;num_questao;enunciado;id_fase;id_tipo_questao;
1;1;As primeiras cinco fases de nossa Olimpíada acontecem por meio digital. Você está agora, provavelmente, diante de um computador... Observe estas propagandas de micro-computadores, ambas da década de 1980 3;1;1;;;;;;;
2;2;"Leia o documento abaixo e selecione, dentre as alternativas, aquela que considerar a mais pertinente. Sobre os excertos da carta de Pero Vaz de Caminha acima, podemos dizer:";1;1;;;;;;;
3;3;"A carta de Pero Vaz de Caminha foi recuperada pela historiografia nacional principalmente durante o século XIX. Foi re-editada e tornou-se de grande interesse, considerada a “certidão de
nascimento” do Brasil. Ela pôde ser assim chamada porque:";1;1;;;;;;;
4;4;A imagem que vemos acima:;1;1;;;;;;;
5;5;"Imagens como a abaixo, cujo interior é oco, foram comuns na região das Minas Gerais durante o
século XVIII. Sobre ela podemos dizer que:";1;1;;;;;;;
6;6;"Estes dois mapas, um de 1822 e outro atual, registram momentos históricos distintos da
conformação do território nacional. Ao observar os dois mapas, pode-se afirmar que:";1;1;;;;;;;
7;7;"Neste trecho do romance de Lima Barreto, publicado na forma de folhetim em 1911 no Jornal do
Commercio, e depois editado em 1915, temos:";1;1;;;;;;;
8;8;Observe o documento e indique a alternativa mais pertinente:;1;1;;;;;;;
9;9;A imagem abaixo expressa de forma irônica uma fase da história recente do Brasil:;1;1;;;;;;;
10;10;"Nessa tarefa, vamos produzir um documento a respeito das pessoas que estão participando da
Olimpíada.";1;2;;;;;;;
11;11;"Sobre esta fotografia abaixo do bando de Lampião, feita a pedido do governador João Bezerra,
pode-se afirmar:";2;1;;;;;;;
12;12;"""Após ler os dois textos acima, selecione a alternativa:"" (Análise dos costumes e vida cotidiana no Brasil, 1819-1823)";2;1;;;;;;;
13;13;"""A imagem abaixo, sobre o fim da Guerra do Paraguai, foi publicada na revista Semana Illustrada de 27 março 1870. A partir da observação da imagem e de sua legenda podemos dizer que:""";2;1;;;;;;;
